pH,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,media,organism
3.68666667,-6.69,-6.56,-7.26,-7.63,-7.99,-8.18,-5.73,-6.65,-5.27,PBS,S.aureus
4.29666667,-10.9,-10.5,-11.2,-11.7,-12.1,-11.5,-7.19,-7.83,-7.17,PBS,S.aureus
5.11,-11.8,-9.08,-8.64,-8.11,-10.7,-12.3,-12.4,-11.5,-10.8,PBS,S.aureus
6.70666667,-18.2,-19,-15.05,-14.2,-17.3,-16.7,-14.6,-16.7,-15.5,PBS,S.aureus
7.73666667,-15.45,-18.3,-19.9,-17.7,-17.8,-16.6,-18.3,-15.8,-17.4,PBS,S.aureus
9.35333333,-15.6,-17.8,-9.58,-18.2,-22.6,-14.7,-18.3,-14.1,-19.4,PBS,S.aureus
9.99666667,-9.78,-17.9,-18.9,-19.55,-15.4,-16.4,-20.3,-25,-20.3,PBS,S.aureus
3.76333333,-8.98,-10.1,-9.27,-12.1,-9.59,-13.3,-11.8,-12.2,-12.1,NaCl,S.aureus
4.31333333,-10.2,-12.8,-11.8,-12.4,-14.2,-14.7,-12.8,-13.8,-12.4,NaCl,S.aureus
5.15666667,-12.6,-15.1,-14.7,-11.9,-10.8,-13,-15.1,-12.6,-12.55,NaCl,S.aureus
6.6,-13.3,-11.8,-13.9,-5.99,-15.2,-17.2,-10.375,-14.8,-13.6,NaCl,S.aureus
7.51,-14.4,-13.6,-16.1,-9.81,-13.4,-14.3,-17.4,-11.7,-13.7,NaCl,S.aureus
8.68,-14.8,-11.6,-16.4,-14.9,-10.3,-5.95,-11.5,-18.4,-17.9,NaCl,S.aureus
9.67,-20.8,-13.7,-15.4,-18.8,-7.98,-14.9,-17.1,-22.65,-20.5,NaCl,S.aureus
10.12,-15.8,-17,-20.6,-12,-14.5,-17.35,-16.8,-19.1,-17.7,NaCl,S.aureus
3.79333333,-7.37,-7.12,-7.13,-7.99,-10.4,-7.55,-6.23,-6.36,6.17,MgCl,S.aureus
4.35333333,-10.3,-9.59,-10.6,-10.1,-10.2,-10.4,-11.4,-11,-11,MgCl,S.aureus
5.24,-11,-12.4,-12.25,-12.85,-12.1,-10.5,-10.555,-7.98,-10.9,MgCl,S.aureus
6.64,-16.75,-15,-17,-13.7,-11.6,-13.15,-12.4,-10.355,-9.86,MgCl,S.aureus
7.46,-16.3,-15.8,-17.8,-16.5,-13.1,-13.95,-17.9,-13.9,-13.6,MgCl,S.aureus
8.56666667,-15.5,-14.8,-17.4,-15.45,-18.8,-18.7,-13.1,-12.8,-16.8,MgCl,S.aureus
9.65666667,-16.9,-18.4,-17.1,-18.5,-22.3,-22.9,-13.8,-17,-16.6,MgCl,S.aureus
10.0433333,-19.1,-22.5,-25.05,-20.25,-23,-19.3,-18.2,-20.8,-21.5,MgCl,S.aureus
